,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,16,1996-01-01T00:00:00,1997-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output016,28.457,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart016,5.701,Ryan Holmes,2023-07-17T22:11:14,90648670,0,[],normal,7771.25,2.1302777777777777,7755.325307377049,2.1259124544626595,0.0036111111111112315,87403.80109346524,11.270165677038031,1576.9599999999627,1824,1455,361,0.275,2083.03444,3427.06,514.63,"[48, 40]",roundrobin,30,27,1200,80,1,f7c377b733b948013d49d50149983c597007963b,2023-07-17 20:25:02 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-17 20:05:30: Run 16', 'update run summary']",1200,35712,True,continue
,17,1997-01-01T00:00:00,1998-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output017,28.378,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart017,5.701,Ryan Holmes,2023-07-18T12:36:59,90682067,2,"[90653566, 90675633]",normal,8141.12,2.2316666666666665,8146.696109589041,2.233195205479452,12.197500000000002,13541.106323996533,1.6621592534988536,1576.9599999999627,1824,1455,361,0.28,2131.925286,3437.36,527.06,"[48, 40]",roundrobin,30,27,1200,80,1,e7e3af8e0a7ebb6e6923bef769a3be7a6dd0a10b,2023-07-18 10:30:26 +1000,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv, sync_data.sh","['2023-07-17 22:12:59: Run 17', 'update run summary', '2023-07-18 08:28:09: Run 17', '2023-07-18 10:30:26: Run 17']",1200,37944,True,continue
,18,1998-01-01T00:00:00,1999-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output018,28.425,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart018,5.703,Ryan Holmes,2023-07-18T14:48:41,90689408,0,[],normal,7998.24,2.1925,8003.718246575342,2.194001712328767,0.0024999999999999467,87452.28246013667,10.9264568998985,1576.9599999999627,1824,1455,361,0.299,2334.812066,3428.47,513.33,"[48, 40]",roundrobin,30,27,1200,80,1,0c878c4f1cd8e116e05f41a00bea8d62449b4391,2023-07-18 14:14:57 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-18 12:38:53: Run 18', 'update run summary']",1200,40176,True,continue
,19,1999-01-01T00:00:00,2000-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output019,28.393,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart019,5.704,Ryan Holmes,2023-07-18T17:10:57,90702220,0,[],normal,8639.68,2.368333333333333,8645.597589041095,2.3699554794520545,0.002777777777777768,87449.43205248361,10.114908906161897,1566.7199999997392,1824,1455,361,0.265,2241.375962,3419.66,1263.73,"[48, 40]",roundrobin,30,27,1200,80,1,06462200a43ae28f26db02d7004d07c8b89fbc56,2023-07-18 15:06:08 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-18 14:50:36: Run 19', 'update run summary']",1200,42408,True,continue
,20,2000-01-01T00:00:00,2001-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output020,28.453,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart020,5.704,Ryan Holmes,2023-07-18T19:33:55,90717619,0,[],normal,8679.2,2.379166666666667,8661.414754098361,2.3742913251366122,0.0036111111111107874,87419.31452553044,10.092960215785283,1576.9599999999627,1824,1455,361,0.318,2687.036914,3487.99,1033.63,"[48, 40]",roundrobin,30,27,1200,80,1,22471af603f67f38285ca13490b7709c0367a0d8,2023-07-18 17:38:45 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-18 17:13:45: Run 20', 'update run summary']",1200,44640,True,continue
,21,2001-01-01T00:00:00,2002-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output021,28.417,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart021,5.706,Ryan Holmes,2023-07-19T11:28:04,90739180,1,[90722836],normal,13225.01,3.625277777777778,13234.068226027397,3.6277608447488583,12.277222222222221,19959.14101556359,1.5081636783698922,1576.9599999999627,1824,1455,361,0.163,2117.543856,6920.31,512.23,"[48, 40]",roundrobin,30,27,600,80,1,f9c096ab21ce3f131357859e49366c662f6f4194,2023-07-19 07:52:41 +1000,"accessom2.nml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-18 19:35:44: Run 21', 'update run summary', '2023-07-19 07:52:41: Run 21']",600,46872,True,continue
,22,2002-01-01T00:00:00,2003-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output022,28.395,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart022,5.706,Ryan Holmes,2023-07-19T14:03:16,90748906,0,[],normal,7796.59,2.1372222222222224,7801.930130136986,2.1386860730593606,0.4494444444444441,72339.49484536084,9.271999830648404,1566.7199999997392,1824,1455,361,0.28,2137.473303,3411.73,524.31,"[48, 40]",roundrobin,30,27,1200,80,1,91ab1e9d692de7609b880d01f492e1a892c4cdc3,2023-07-19 11:56:45 +1000,"accessom2.nml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['update run summary', '2023-07-19 11:56:45: Run 22']",1200,49104,True,continue
,23,2003-01-01T00:00:00,2004-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output023,28.398,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart023,5.706,Ryan Holmes,2023-07-19T16:16:04,90755485,0,[],normal,8052.96,2.2075,8058.475726027397,2.2090119863013697,0.005833333333333357,87321.2530120482,10.83595160931199,1576.9599999999627,1824,1455,361,0.282,2152.417097,3425.01,503.09,"[48, 40]",roundrobin,30,27,1200,80,1,7f2fc8e7bd8fb4ad67613a44d21cf7146b8ae4ab,2023-07-19 14:24:25 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-19 14:09:20: Run 23', 'update run summary']",1200,51336,True,continue
,24,2004-01-01T00:00:00,2005-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output024,28.421,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart024,5.705,Ryan Holmes,2023-07-20T10:03:56,90791695,1,[90760053],normal,7800.64,2.138333333333333,7784.655081967214,2.1339515027322404,15.659444444444444,10519.030091147459,1.3512519155170146,1576.9599999999627,1824,1455,361,0.277,2114.88419,3453.39,501.04,"[48, 40]",roundrobin,30,27,1200,80,1,0f72411009b2b0c948a5ed506359e1ceb030bf29,2023-07-20 07:57:21 +1000,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-19 16:18:11: Run 24', 'update run summary', '2023-07-20 07:57:21: Run 24']",1200,53568,True,continue
,25,2005-01-01T00:00:00,2006-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output025,28.372,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart025,5.707,Ryan Holmes,2023-07-20T12:13:50,90795745,0,[],normal,7874.61,2.158611111111111,7880.00356849315,2.160089611872146,0.006388888888888999,87293.59815242494,11.07786276918116,1576.9599999999627,1824,1455,361,0.288,2215.60924,3444.97,501.12,"[48, 40]",roundrobin,30,27,1200,80,1,3b7d57c3e4e2ff823912de46e38eec3236e22dc4,2023-07-20 10:23:46 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 10:06:02: Run 25', 'update run summary']",1200,55800,True,continue
,26,2006-01-01T00:00:00,2007-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output026,28.336,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart026,5.717,Ryan Holmes,2023-07-20T14:22:34,90801889,0,[],normal,7792.53,2.136111111111111,7797.867349315068,2.137574200913242,0.009444444444444589,87166.5706887623,11.178257693293364,1576.9599999999627,1824,1455,361,0.278,2103.877585,3420.16,515.03,"[48, 40]",roundrobin,30,27,1200,80,1,8b7297252a492112adac8989700501016f7c0bff,2023-07-20 12:32:45 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 12:16:44: Run 26', 'update run summary']",1200,58032,True,continue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
Total,351,,,,9862.0,,,765.922,,153.802,,,2446019891,7,,,219744.34999999998,60.236944444444454,219741.8636331686,60.2362628689772,87.53611111111111,1904395.8792615773,238.6825844078287,42475.51999999862,49248,39285,9747,7.525,58946.57755399999,96265.38,15077.800000000001,,,810,729,31800,2160,27,,,,,31800,783432,26,
Mean,13.0,,,0.25,365.25925925925924,,,28.367481481481477,,5.696370370370371,,,90593329.2962963,0.25925925925925924,"[3351821.66666667 3354824.74074074 3356023.51851852 3357539.48148148
 3358356.77777778 3360105.03703704 3361483.44444444]",,8138.67962962963,2.2309979423868316,8138.587541969208,2.230972698851008,3.366773504273504,73245.99535621452,9.1800994003011,1573.1674074073564,1824.0,1455.0,361.0,0.27870370370370373,2183.206576074074,3565.3844444444444,558.4370370370372,44.0,,30.0,27.0,1177.7777777777778,80.0,1.0,,,,,1177.7777777777778,29016.0,0.9629629629629629,
Median,13.0,,,0.0,365.0,,,28.382,,5.698,,,90628077.0,0.0,[],,7874.61,2.158611111111111,7880.00356849315,2.160089611872146,0.0050000000000001155,87349.63447877692,11.034683327860655,1576.9599999999627,1824.0,1455.0,361.0,0.28,2152.417097,3435.48,512.9,44.0,,30.0,27.0,1200.0,80.0,1.0,,,,,1200.0,29016.0,1.0,
Min,0,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output000,27.905,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart000,5.669,Ryan Holmes,2023-07-14T12:46:30,90409068,0,[],normal,7758.08,2.1266666666666665,7755.325307377049,2.1259124544626595,0.0016666666666664831,4102.836671551865,0.5221577661438067,1505.2800000002608,1824,1455,361,0.163,2081.450558,3411.73,492.02,"[48, 40]",roundrobin,30,27,600,80,1,06462200a43ae28f26db02d7004d07c8b89fbc56,2023-07-14 10:38:54 +1000,,"['2023-07-14 12:49:26: Run 1', 'update run summary']",600,0,False,continue
Max,26,2006-01-01T00:00:00,2007-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output026,28.457,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart026,5.717,Ryan Holmes,2023-07-20T14:22:34,90801889,2,[90760053],normal,13225.01,3.625277777777778,13234.068226027397,3.6277608447488583,43.899166666666666,87484.77912776571,11.270165677038031,1587.2000000001863,1824,1455,361,0.318,2687.036914,6920.31,1263.73,"[48, 40]",roundrobin,30,27,1200,80,1,f9c096ab21ce3f131357859e49366c662f6f4194,2023-07-20 12:32:45 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['update run summary', '2023-07-19 11:56:45: Run 22']",1200,58032,True,initial
Std dev,7.788880963698615,,,0.4330127018922193,0.4382281320814531,,,0.09765106829188262,,0.010708764662815552,,,135294.68163942074,0.5832598425193933,,,1022.1837640923168,0.28020400558622716,1023.6726786214491,0.2806121495510045,9.169589657667906,28043.968588337833,3.608627889132546,13.976102511994265,0.0,0.0,0.0,0.02461829313037257,118.0643542827349,658.146787574825,170.10044330760306,4.0,,0.0,0.0,113.31154474650633,0.0,0.0,,,,,113.31154474650633,17384.782310975308,0.18885257457751053,
SU correlation,0.23095063752842657,,,,-0.08371289182495618,,,0.12939038034011854,,0.19106081445951814,,,0.24472019000291131,0.23939087855549382,,,0.9999999999999998,0.9999999999978936,0.9999564126915531,0.9999564185366713,,,,0.04696800001480442,nan,nan,nan,-0.86570257143584,0.05847216211192647,0.9773235782953481,0.14199494427366147,,,nan,nan,-0.9758631366628873,nan,nan,,,,,-0.9758631366628873,0.23095063752842657,0.04133231992266092,
SU slope,30.309102564102716,,,,-195.26350000001145,,,1354.4219057397233,,18237.3288277508,,,0.0018489197205345661,419.5410887096777,,,1.0,3647.9984001356743,0.998501993068515,3642.533715890663,,,,3.4351441688282276,2.230997705490578,2.796797123584065,11.272409459320816,-35945.104251071774,0.5062433545272459,1.5179049914978635,0.8532895258671164,,,135.64466049382713,150.71628943758571,-8.803264102564102,50.866747685185175,4069.339814814814,,,,,-8.803264102564102,0.013579347026927537,223.7153846153839,
Dimensionless SU slope,0.04841305362344949,,,,-8.763313536844578,,,4.720856462921483,,12.764549570288057,,,20.58070850645175,0.013364564872624681,,,1.0,0.9999996676246504,0.9984906952024418,0.9984903749266016,,,,0.6639967527990688,0.4999999999999999,0.49999999999999994,0.49999999999999994,-1.2309163329537942,0.1358001384738102,0.6649622655164449,0.058548621673864244,,,0.4999999999999999,0.49999999999999994,-1.2739522015539348,0.4999999999999999,0.4999999999999999,,,,,-1.2739522015539348,0.04841305362344876,0.026469850078056526,
